unitid,headcountAll,headcountUndergrad
153977,1097,1097
154004,2853,1402
154013,2160,1787
154022,169843,153446
154059,4655,4655
154095,16134,12935
154101,1290,1290
154110,7236,7236
154129,2449,2449
154156,1916,0
154174,2661,78
154235,3902,2944
154262,236,236
154350,2137,2062
154378,4640,4640
154396,2286,2286
154493,10268,9227
154518,1185,1185
154527,1898,1898
154536,149,0
154572,8747,8747
154590,2685,2360
154642,5019,5019
154688,4549,2652
154697,15188,15188
154712,2420,2329
154721,656,656
154749,580,580
154767,1010,1010
154776,910,910
154794,258,258
154800,14500,14500
154837,234,27
154855,766,766
154907,4612,4612
154925,2750,2750
154934,1923,1923
154952,6070,6070
154998,2880,2880
155007,841,841
155025,7437,4309
155052,1070,1070
155061,15450,12980
155070,263,251
155089,3787,2725
155098,3226,3226
155104,2878,2878
155140,991,991
155177,505,505
155186,5406,5406
155195,9488,9488
155201,1998,1998
155210,31764,31764
155283,1431,1431
155292,11047,11047
155317,31617,21710
155335,4165,3013
155399,27119,21513
155414,984,928
155450,2996,2996
155487,1182,1182
155496,461,461
155511,677,677
155520,2447,1710
155566,4075,4075
155593,1180,1180
155618,610,610
155627,625,610
155636,1085,406
155681,8922,7007
155715,2417,2417
155812,1606,969
155830,1206,1206
155858,2670,2670
155900,3445,2645
155937,721,721
155973,843,829
156082,8671,7632
156107,4082,4082
156125,19348,15517
156189,640,640
156213,1875,1592
156222,1823,0
156231,6393,6393
156286,4011,2895
156295,1734,1734
156338,7800,7800
156356,857,830
156365,4519,3782
156392,19205,19205
156408,1328,1328
156417,209,209
156471,1700,1700
156541,4922,1853
156620,19043,16064
156648,11174,11174
156727,1636,0
156745,2101,1375
156790,5813,5813
156851,2944,2944
156860,6070,6070
156903,367,367
156921,21190,21190
157021,3051,3051
157030,81,81
157058,3530,3214
157076,803,803
157085,29802,21861
157100,616,568
157207,88,0
157216,3047,2370
157270,835,835
157289,24172,17692
157298,250,0
157304,6417,6417
157331,6708,6708
157359,2916,2790
157377,2180,2021
157386,12954,10758
157401,12676,9972
157438,7308,7308
157447,18242,14912
157465,567,567
157483,10291,10291
157535,1953,1618
157553,7701,7701
157599,3630,3630
157632,1205,1197
157696,1352,1352
157711,12978,12978
157739,7178,7178
157748,4317,959
157757,2726,1576
